省,市,县,县代码,GDP_2020_SSP5,GDP_2025_SSP5,GDP_2030_SSP5,GDP_2035_SSP5,GDP_2040_SSP5,GDP_2045_SSP5,GDP_2050_SSP5
安徽省,铜陵市,义安区,340706.0,1266116096.0,1154801408.0,1602356864.0,2140636672.0,2636969984.0,3077852672.0,3432893696.0
安徽省,芜湖市,繁昌区,340211.0,2493878272.0,2820671488.0,3914170112.0,5229125632.0,6442039296.0,7519499776.0,8387337728.0
安徽省,芜湖市,镜湖区,340202.0,30692806656.0,28882765824.0,40143306752.0,53720072192.0,66284662784.0,77490380800.0,86601342976.0
安徽省,芜湖市,鸠江区,340207.0,9642580992.0,8087945216.0,11250104320.0,15066970112.0,18605211648.0,21766993920.0,24347533312.0
安徽省,芜湖市,南陵县,340223.0,3567004160.0,3132333056.0,4346556416.0,5806781952.0,7153534976.0,8349794304.0,9313139712.0
安徽省,芜湖市,湾沚区,340210.0,2289519360.0,2563774208.0,3557762560.0,4753217536.0,5855889408.0,6835480576.0,7624547328.0
安徽省,芜湖市,无为市,340281.0,3132351488.0,5990651904.0,8313105408.0,11106143232.0,13682240512.0,15970548736.0,17813602304.0
安徽省,芜湖市,弋江区,340209.0,11155454976.0,10804495360.0,15003922432.0,20059901952.0,24729864192.0,28884758528.0,32243736576.0
安徽省,宣城市,广德市,341882.0,3888621568.0,4109394944.0,5835504640.0,7980784640.0,10056876032.0,12005809152.0,13734914048.0
安徽省,宣城市,绩溪县,341824.0,569669696.0,1113379712.0,1577846400.0,2153318144.0,2708643584.0,3228020992.0,3685173760.0
安徽省,宣城市,泾县,341823.0,2373628160.0,1799941632.0,2496184320.0,3333006592.0,4104176384.0,4787632640.0,5337389568.0
安徽省,宣城市,旌德县,341825.0,257478464.0,363127424.0,503874624.0,672996736.0,829031808.0,967542528.0,1079218176.0
安徽省,宣城市,郎溪县,341821.0,1732750336.0,1970192512.0,2733949952.0,3652630528.0,4500052992.0,5252955648.0,5859631104.0
安徽省,宣城市,宁国市,341881.0,5438636032.0,5521418240.0,7791368192.0,10588581888.0,13264675840.0,15745110016.0,17896853504.0
安徽省,宣城市,宣州区,341802.0,7077102592.0,6665592832.0,9248858112.0,12355475456.0,15220417536.0,17765089280.0,19813953536.0
澳门特别行政区,澳门特别行政区,大堂区,820004.0,9717735424.0,15896807424.0,18787659776.0,21439807488.0,23517892608.0,25323440128.0,26939467776.0
澳门特别行政区,澳门特别行政区,风顺堂区,820005.0,0.0,2759756800.0,3261621760.0,3722046208.0,4082811392.0,4396262400.0,4676811776.0
澳门特别行政区,澳门特别行政区,花地玛堂区,820001.0,10185081856.0,8745382912.0,10335733760.0,11794760704.0,12937977856.0,13931262976.0,14820287488.0
澳门特别行政区,澳门特别行政区,花王堂区,820002.0,12658267136.0,28817772544.0,31991517184.0,34831327232.0,37334781952.0,39476682752.0,41606537216.0
澳门特别行政区,澳门特别行政区,嘉模堂区,820006.0,3309271808.0,3019931136.0,4039997952.0,4870861312.0,5140222464.0,5355212800.0,5600397824.0
澳门特别行政区,澳门特别行政区,路凼填海区,820007.0,0.0,45032988.0,73846104.0,111009368.0,128343616.0,158407136.0,200495232.0
澳门特别行政区,澳门特别行政区,圣方济各堂区,820008.0,149635344.0,381389216.0,481080032.0,569583168.0,649429440.0,720294912.0,770306368.0
澳门特别行政区,澳门特别行政区,望德堂区,820003.0,9161419776.0,10441764864.0,12340611072.0,14082665472.0,15447649280.0,16633615360.0,17695098880.0
北京市,北京市,昌平区,110114.0,40030208000.0,52377706496.0,72706490368.0,97212186624.0,119894851584.0,140132302848.0,156293218304.0
北京市,北京市,朝阳区,110105.0,203464474624.0,273175969792.0,380077473792.0,509233397760.0,629211725824.0,736709705728.0,823072391168.0
北京市,北京市,大兴区,110115.0,38845739008.0,31861094400.0,44140642304.0,58916163584.0,72551456768.0,84674289664.0,94306074624.0
北京市,北京市,东城区,110101.0,53283594240.0,93542662144.0,130148564992.0,174374961152.0,215458725888.0,252268871680.0,281841696768.0
北京市,北京市,房山区,110111.0,14604556288.0,17708064768.0,24529944576.0,32737144832.0,40309694464.0,47041372160.0,52388106240.0
北京市,北京市,丰台区,110106.0,105250799616.0,122674733056.0,170618781696.0,228523409408.0,282283245568.0,330419208192.0,369054842880.0
北京市,北京市,海淀区,110108.0,155704033280.0,198932086784.0,276618543104.0,370424872960.0,457486958592.0,535410376704.0,597918810112.0
北京市,北京市,怀柔区,110116.0,9468929024.0,10347393024.0,14383112192.0,19254616064.0,23773970432.0,27809374208.0,31041968128.0
北京市,北京市,门头沟区,110109.0,10607343616.0,9205899264.0,12695345152.0,16872014848.0,20697108480.0,24065865728.0,26706374656.0
北京市,北京市,密云区,110118.0,8847310848.0,9238493184.0,12814314496.0,17121957888.0,21105182720.0,24654647296.0,27483920384.0
北京市,北京市,平谷区,110117.0,6135836160.0,4752441856.0,6589892608.0,8801456128.0,10842813440.0,12658926592.0,14104046592.0
北京市,北京市,石景山区,110107.0,28731346944.0,32246691840.0,44697055232.0,59684241408.0,73524322304.0,85838692352.0,95633244160.0
北京市,北京市,顺义区,110113.0,22373867520.0,23690358784.0,32960149504.0,44159602688.0,54562983936.0,63884247040.0,71373217792.0
北京市,北京市,通州区,110112.0,32241532928.0,34344792064.0,47757197312.0,63952175104.0,78981906432.0,92433424384.0,103223771136.0
北京市,北京市,西城区,110102.0,83166715904.0,109141049344.0,151851057152.0,203452252160.0,251386773504.0,294335086592.0,328839266304.0
北京市,北京市,延庆区,110119.0,4965676544.0,4030013440.0,5443280896.0,7096848384.0,8553900032.0,9776752640.0,10664293376.0
福建省,福州市,仓山区,350104.0,31310028800.0,45280247808.0,62910763008.0,84114423808.0,104011530240.0,121717940224.0,135853752320.0
福建省,福州市,福清市,350181.0,25505507328.0,16954138624.0,23554725888.0,31493183488.0,38941392896.0,45569617920.0,50860118016.0
福建省,福州市,鼓楼区,350102.0,44856807424.0,65708912640.0,91295612928.0,122069688320.0,150948331520.0,176647979008.0,197166841856.0
福建省,福州市,晋安区,350111.0,46600196096.0,49244475392.0,68419989504.0,91483103232.0,113125695488.0,132385849344.0,147763347456.0
福建省,福州市,连江县,350122.0,7306403840.0,4370614784.0,6072127488.0,8118325248.0,10038479872.0,11747088384.0,13108873216.0
福建省,福州市,罗源县,350123.0,2412546560.0,1431125632.0,1988288768.0,2658366464.0,3287108096.0,3846515456.0,4293031168.0
福建省,福州市,马尾区,350105.0,7185914368.0,3879644928.0,5394404864.0,7212570624.0,8917836800.0,10435196928.0,11646758912.0
福建省,福州市,闽侯县,350121.0,12519663616.0,13131965440.0,18244902912.0,24394096640.0,30164025344.0,35298836480.0,39398105088.0
福建省,福州市,闽清县,350124.0,1263612928.0,3205671424.0,4453689344.0,5954687488.0,7363138048.0,8616339456.0,9616861184.0
福建省,福州市,平潭县,350128.0,6299545600.0,3868017920.0,5150701568.0,6633875968.0,7816966144.0,8616627200.0,9112072192.0
福建省,福州市,台江区,350103.0,33113368576.0,45755596800.0,63572574208.0,85001715712.0,105111019520.0,123006631936.0,137294708736.0
福建省,福州市,永泰县,350125.0,1196496000.0,2442789120.0,3393891840.0,4537725440.0,5611107328.0,6566383616.0,7328992256.0
福建省,福州市,长乐区,350112.0,15119880192.0,6814926848.0,9468302336.0,12659042304.0,15653052416.0,18317105152.0,20443590656.0
福建省,龙岩市,连城县,350825.0,1740982784.0,1986578432.0,2759724288.0,3689280512.0,4561685504.0,5337469440.0,5957036544.0
福建省,龙岩市,上杭县,350823.0,1865784704.0,3887706112.0,5456130560.0,7361190912.0,9180908544.0,10838728704.0,12212349952.0
福建省,龙岩市,武平县,350824.0,1376801280.0,2320378112.0,3242534400.0,4354765312.0,5405180416.0,6350351360.0,7123268096.0
福建省,龙岩市,新罗区,350802.0,13252358144.0,21487478784.0,29854580736.0,39917936640.0,49361543168.0,57765539840.0,64475316224.0
福建省,龙岩市,永定区,350803.0,1643651072.0,2707997184.0,3772433408.0,5056084480.0,6266522624.0,7350729216.0,8225467392.0
福建省,龙岩市,漳平市,350881.0,1721251328.0,2041883264.0,2836427264.0,3791877632.0,4688417792.0,5485940224.0,6122608128.0
福建省,龙岩市,长汀县,350821.0,2573691136.0,2331360768.0,3230262784.0,4306952192.0,5310716928.0,6196405248.0,6896059392.0
福建省,南平市,光泽县,350723.0,579108736.0,1091088256.0,1495559808.0,1972071680.0,2404001024.0,2771384832.0,3047537920.0
福建省,南平市,建瓯市,350783.0,2292304384.0,2503845632.0,3478038016.0,4649569792.0,5748767744.0,6726477312.0,7506811904.0
福建省,南平市,建阳区,350703.0,2543486208.0,2541891328.0,3531099648.0,4720557056.0,5836710912.0,6829280768.0,7621748736.0
福建省,南平市,浦城县,350722.0,1133388672.0,2133857792.0,2951781376.0,3929351168.0,4837427200.0,5634819072.0,6260856320.0
福建省,南平市,邵武市,350781.0,1615152896.0,4778389504.0,6624706048.0,8838381568.0,10905202688.0,12732641280.0,14179815424.0
福建省,南平市,顺昌县,350721.0,976739520.0,1150382464.0,1598307840.0,2137037056.0,2642561280.0,3092400128.0,3451514112.0
福建省,南平市,松溪县,350724.0,521648000.0,752784256.0,1047659200.0,1403032064.0,1737623040.0,2036448512.0,2276545280.0
福建省,南平市,武夷山市,350782.0,2413656064.0,6096547840.0,8469111296.0,11322034176.0,13998309376.0,16378810368.0,18278418432.0
福建省,南平市,延平区,350702.0,4284322816.0,5768013824.0,8013906944.0,10715064320.0,13249806336.0,15505491968.0,17306318848.0
福建省,南平市,政和县,350725.0,600615744.0,599111936.0,833697920.0,1116381440.0,1382420352.0,1620026240.0,1810767872.0
福建省,宁德市,福安市,350981.0,3673085952.0,4921596928.0,6838200320.0,9143401472.0,11306805248.0,13232220160.0,14769674240.0
福建省,宁德市,福鼎市,350982.0,4892590592.0,1653413120.0,2324513792.0,3144955392.0,3922888448.0,4623031296.0,5210657792.0
福建省,宁德市,古田县,350922.0,1957555072.0,3185488384.0,4425757696.0,5917485056.0,7317258752.0,8562841088.0,9557311488.0
福建省,宁德市,蕉城区,350902.0,10110069760.0,21089009664.0,29300883456.0,39177621504.0,48446013440.0,56694099968.0,63279362048.0
福建省,宁德市,屏南县,350923.0,896706304.0,1745632256.0,2425368064.0,3242905856.0,4010091520.0,4692809728.0,5237907968.0
福建省,宁德市,寿宁县,350924.0,630035648.0,744883584.0,1046753792.0,1414652032.0,1766895104.0,2088064256.0,2353771776.0
福建省,宁德市,霞浦县,350921.0,3354760448.0,2234344192.0,3104202240.0,4150363648.0,5131988992.0,6005379584.0,6702425088.0
福建省,宁德市,柘荣县,350926.0,1144907904.0,768749376.0,1068153600.0,1428261632.0,1766161536.0,2066924544.0,2307015424.0
福建省,宁德市,周宁县,350925.0,1113798016.0,1589642496.0,2208671744.0,2953215744.0,3651917568.0,4273729536.0,4770210816.0
福建省,莆田市,城厢区,350302.0,7577419264.0,17634869248.0,24501362688.0,32759742464.0,40509280256.0,47405465600.0,52911177728.0
福建省,莆田市,涵江区,350303.0,11723635712.0,20109932544.0,27940282368.0,37358108672.0,46195568640.0,54060027904.0,60338941952.0
福建省,莆田市,荔城区,350304.0,21566795776.0,22509871104.0,31275051008.0,41817239552.0,51710062592.0,60513882112.0,67542876160.0
福建省,莆田市,仙游县,350322.0,13428751360.0,20045289472.0,27849695232.0,37235941376.0,46043463680.0,53880823808.0,60137545728.0
福建省,莆田市,秀屿区,350305.0,5320833536.0,6114937856.0,8495929344.0,11359465472.0,14046299136.0,16437288960.0,18346129408.0
福建省,泉州市,安溪县,350524.0,10393335808.0,13053515776.0,18136449024.0,24249856000.0,29986721792.0,35092041728.0,39168184320.0
福建省,泉州市,德化县,350526.0,3175705344.0,8238797312.0,11446936576.0,15305493504.0,18926393344.0,22148718592.0,24721412096.0
福建省,泉州市,丰泽区,350503.0,27350302720.0,30540328960.0,42432512000.0,56735547392.0,70157451264.0,82101796864.0,91638112256.0
福建省,泉州市,惠安县,350521.0,16214542336.0,15722461184.0,21844549632.0,29207388160.0,36116807680.0,42265493504.0,47174107136.0
福建省,泉州市,金门县,350527.0,310761728.0,315053248.0,379727744.0,454814304.0,525020992.0,575135872.0,606087104.0
福建省,泉州市,晋江市,350582.0,72584683520.0,74044432384.0,102876725248.0,137557000192.0,170100752384.0,199060504576.0,222178213888.0
福建省,泉州市,鲤城区,350502.0,16422339584.0,24506871808.0,34049716224.0,45527252992.0,56297869312.0,65882836992.0,73535569920.0
福建省,泉州市,洛江区,350504.0,1957124736.0,4630013440.0,6432655360.0,8600855552.0,10635004928.0,12445022208.0,13889801216.0
福建省,泉州市,南安市,350583.0,19436247040.0,23929325568.0,33246990336.0,44453326848.0,54969085952.0,64326746112.0,71797653504.0
福建省,泉州市,泉港区,350505.0,7048899584.0,6879536128.0,9558275072.0,12780032000.0,15803303936.0,18493710336.0,20641701888.0
福建省,泉州市,石狮市,350581.0,39570292736.0,38552838144.0,53565112320.0,71620919296.0,88564645888.0,103643201536.0,115682050048.0
福建省,泉州市,永春县,350525.0,4836097024.0,7325284864.0,10177632256.0,13608233984.0,16827601920.0,19692447744.0,21979721728.0
福建省,三明市,大田县,350425.0,805319552.0,1368044160.0,1900737152.0,2541419776.0,3142632448.0,3677651200.0,4104799744.0
福建省,三明市,建宁县,350430.0,511543136.0,702622848.0,973381312.0,1297667072.0,1599989504.0,1866697728.0,2077238400.0
福建省,三明市,将乐县,350428.0,574066240.0,879789568.0,1222334976.0,1634303360.0,2020911744.0,2364888576.0,2639562496.0
福建省,三明市,明溪县,350421.0,373611264.0,538594880.0,748314880.0,1000553600.0,1237256576.0,1447881728.0,1616061696.0
福建省,三明市,宁化县,350424.0,1352134400.0,1206226688.0,1669339136.0,2223199744.0,2738053632.0,3190956288.0,3546968320.0
福建省,三明市,清流县,350423.0,440066240.0,437756096.0,607609792.0,811712960.0,1003192000.0,1172948864.0,1308394240.0
福建省,三明市,三元区,350403.0,6715528192.0,13022219264.0,18092986368.0,24191821824.0,29914963968.0,35008126976.0,39074562048.0
福建省,三明市,沙县区,350427.0,1967442560.0,3443834368.0,4784690688.0,6397381120.0,7910699008.0,9257361408.0,10332464128.0
福建省,三明市,泰宁县,350429.0,545919104.0,1038696960.0,1441896960.0,1926236800.0,2379853312.0,2782481152.0,3102923776.0
福建省,三明市,永安市,350481.0,2351661056.0,4876545024.0,6774965248.0,9058023424.0,11200315392.0,13106469888.0,14628183040.0
福建省,三明市,尤溪县,350426.0,1741565312.0,1948600960.0,2707184640.0,3619538944.0,4475636224.0,5237449728.0,5845646336.0
福建省,厦门市,海沧区,350205.0,21646090240.0,10652122112.0,14801054720.0,19793733632.0,24481079296.0,28654524416.0,31984721920.0
福建省,厦门市,湖里区,350206.0,102940950528.0,56169979904.0,78059036672.0,104388116480.0,129070522368.0,151027400704.0,168552169472.0
福建省,厦门市,集美区,350211.0,38336933888.0,26340438016.0,36597170176.0,48933273600.0,60509564928.0,70811451392.0,79036522496.0
福建省,厦门市,思明区,350203.0,93366796288.0,34473213952.0,47896899584.0,64042061824.0,79192817664.0,92675768320.0,103440670720.0
